encounter_index,memory_id,action,retrieval_count,average_utility,quality_score,reason
266,M039766,downgraded,2,-1.0,0.30000000000000004,quality_score=0.3000 < DOWNGRADE_THRESHOLD=0.4
344,M022995,downgraded,2,-1.0,0.30000000000000004,quality_score=0.3000 < DOWNGRADE_THRESHOLD=0.4
396,M041267,downgraded,2,-1.0,0.30000000000000004,quality_score=0.3000 < DOWNGRADE_THRESHOLD=0.4
413,M022050,downgraded,2,-1.0,0.30000000000000004,quality_score=0.3000 < DOWNGRADE_THRESHOLD=0.4
550,M014850,downgraded,2,-1.0,0.30000000000000004,quality_score=0.3000 < DOWNGRADE_THRESHOLD=0.4
580,M087364,downgraded,2,-1.0,0.30000000000000004,quality_score=0.3000 < DOWNGRADE_THRESHOLD=0.4
593,M055272,downgraded,2,-1.0,0.30000000000000004,quality_score=0.3000 < DOWNGRADE_THRESHOLD=0.4
611,M073412,downgraded,2,-1.0,0.30000000000000004,quality_score=0.3000 < DOWNGRADE_THRESHOLD=0.4
613,M026538,downgraded,2,-1.0,0.30000000000000004,quality_score=0.3000 < DOWNGRADE_THRESHOLD=0.4
626,M063418,downgraded,2,-1.0,0.30000000000000004,quality_score=0.3000 < DOWNGRADE_THRESHOLD=0.4
636,M012475,downgraded,2,-1.0,0.30000000000000004,quality_score=0.3000 < DOWNGRADE_THRESHOLD=0.4
677,M087364,quarantined,3,-1.0,0.20000000000000004,retrieval_count=3>=N_MIN=3 and average_utility=-1.0000<=BETA=-0.2
698,M096546,downgraded,2,-1.0,0.30000000000000004,quality_score=0.3000 < DOWNGRADE_THRESHOLD=0.4
737,M033672,downgraded,2,-1.0,0.30000000000000004,quality_score=0.3000 < DOWNGRADE_THRESHOLD=0.4
761,M031114,downgraded,2,-1.0,0.30000000000000004,quality_score=0.3000 < DOWNGRADE_THRESHOLD=0.4
783,M100822,downgraded,2,-1.0,0.30000000000000004,quality_score=0.3000 < DOWNGRADE_THRESHOLD=0.4
818,M058542,downgraded,2,-1.0,0.30000000000000004,quality_score=0.3000 < DOWNGRADE_THRESHOLD=0.4
844,M002294,downgraded,2,-1.0,0.30000000000000004,quality_score=0.3000 < DOWNGRADE_THRESHOLD=0.4
931,M040753,downgraded,2,-1.0,0.30000000000000004,quality_score=0.3000 < DOWNGRADE_THRESHOLD=0.4
963,M080916,downgraded,2,-1.0,0.30000000000000004,quality_score=0.3000 < DOWNGRADE_THRESHOLD=0.4
1002,M036474,downgraded,2,-1.0,0.30000000000000004,quality_score=0.3000 < DOWNGRADE_THRESHOLD=0.4
1007,M020973,downgraded,2,-1.0,0.30000000000000004,quality_score=0.3000 < DOWNGRADE_THRESHOLD=0.4
1028,M082710,downgraded,2,-1.0,0.30000000000000004,quality_score=0.3000 < DOWNGRADE_THRESHOLD=0.4
1036,M082710,quarantined,3,-1.0,0.20000000000000004,retrieval_count=3>=N_MIN=3 and average_utility=-1.0000<=BETA=-0.2
1067,M032015,downgraded,2,-1.0,0.30000000000000004,quality_score=0.3000 < DOWNGRADE_THRESHOLD=0.4
1121,M076740,downgraded,2,-1.0,0.30000000000000004,quality_score=0.3000 < DOWNGRADE_THRESHOLD=0.4
1121,M086254,downgraded,2,-1.0,0.30000000000000004,quality_score=0.3000 < DOWNGRADE_THRESHOLD=0.4
1148,M025353,downgraded,2,-1.0,0.30000000000000004,quality_score=0.3000 < DOWNGRADE_THRESHOLD=0.4
1213,M024682,downgraded,2,-1.0,0.30000000000000004,quality_score=0.3000 < DOWNGRADE_THRESHOLD=0.4
1215,M076762,downgraded,2,-1.0,0.30000000000000004,quality_score=0.3000 < DOWNGRADE_THRESHOLD=0.4
1223,M006216,downgraded,2,-1.0,0.30000000000000004,quality_score=0.3000 < DOWNGRADE_THRESHOLD=0.4
1243,M078549,downgraded,2,-1.0,0.30000000000000004,quality_score=0.3000 < DOWNGRADE_THRESHOLD=0.4
1252,M025514,downgraded,2,-1.0,0.30000000000000004,quality_score=0.3000 < DOWNGRADE_THRESHOLD=0.4
1257,M015717,downgraded,2,-1.0,0.30000000000000004,quality_score=0.3000 < DOWNGRADE_THRESHOLD=0.4
1274,M069598,downgraded,2,-1.0,0.30000000000000004,quality_score=0.3000 < DOWNGRADE_THRESHOLD=0.4
1304,M026317,downgraded,2,-1.0,0.30000000000000004,quality_score=0.3000 < DOWNGRADE_THRESHOLD=0.4
1304,M050814,downgraded,2,-1.0,0.30000000000000004,quality_score=0.3000 < DOWNGRADE_THRESHOLD=0.4
1311,M032141,downgraded,2,-1.0,0.30000000000000004,quality_score=0.3000 < DOWNGRADE_THRESHOLD=0.4
1347,M000160,downgraded,2,-1.0,0.30000000000000004,quality_score=0.3000 < DOWNGRADE_THRESHOLD=0.4
1350,M041855,downgraded,2,-1.0,0.30000000000000004,quality_score=0.3000 < DOWNGRADE_THRESHOLD=0.4
1378,M079157,downgraded,2,-1.0,0.30000000000000004,quality_score=0.3000 < DOWNGRADE_THRESHOLD=0.4
1381,M101377,downgraded,2,-1.0,0.30000000000000004,quality_score=0.3000 < DOWNGRADE_THRESHOLD=0.4
1389,M099713,downgraded,2,-1.0,0.30000000000000004,quality_score=0.3000 < DOWNGRADE_THRESHOLD=0.4
1420,M045054,downgraded,2,-1.0,0.30000000000000004,quality_score=0.3000 < DOWNGRADE_THRESHOLD=0.4
1420,M052160,downgraded,2,-1.0,0.30000000000000004,quality_score=0.3000 < DOWNGRADE_THRESHOLD=0.4
1456,M007310,downgraded,2,-1.0,0.30000000000000004,quality_score=0.3000 < DOWNGRADE_THRESHOLD=0.4
1494,M084757,downgraded,2,-1.0,0.30000000000000004,quality_score=0.3000 < DOWNGRADE_THRESHOLD=0.4
1502,M050891,downgraded,2,-1.0,0.30000000000000004,quality_score=0.3000 < DOWNGRADE_THRESHOLD=0.4
1504,M043462,downgraded,2,-1.0,0.30000000000000004,quality_score=0.3000 < DOWNGRADE_THRESHOLD=0.4
1534,M050814,quarantined,3,-1.0,0.20000000000000004,retrieval_count=3>=N_MIN=3 and average_utility=-1.0000<=BETA=-0.2
1593,M080009,downgraded,2,-1.0,0.30000000000000004,quality_score=0.3000 < DOWNGRADE_THRESHOLD=0.4
1593,M083026,downgraded,2,-1.0,0.30000000000000004,quality_score=0.3000 < DOWNGRADE_THRESHOLD=0.4
1604,M018095,downgraded,2,-1.0,0.30000000000000004,quality_score=0.3000 < DOWNGRADE_THRESHOLD=0.4
1624,M044775,downgraded,2,-1.0,0.30000000000000004,quality_score=0.3000 < DOWNGRADE_THRESHOLD=0.4
1625,M091998,downgraded,2,-1.0,0.30000000000000004,quality_score=0.3000 < DOWNGRADE_THRESHOLD=0.4
1731,M028519,downgraded,2,-1.0,0.30000000000000004,quality_score=0.3000 < DOWNGRADE_THRESHOLD=0.4
